＃ 下水道ドメイン用語 (リポジトリ既存の benchmark_terms_sewage_60_cases.tsv 由来)
＃ S001-S015 は human_curated、S016-S060 は公開資料で読みを確認済み
term	reading	sentence	category	source
沈砂池	ちんさち	下水はまず沈砂池で土砂やごみを取り除く。	下水道	repo_benchmark_60
最初沈殿池	さいしょちんでんち	一次処理では最初沈殿池で比重の大きい固形物を沈める。	下水道	repo_benchmark_60
余剰汚泥	よじょうおでい	増えすぎた微生物は余剰汚泥として系外へ引き抜く。	下水道	repo_benchmark_60
消化ガス	しょうかがす	消化槽で発生した消化ガスを発電に利用している。	下水道	repo_benchmark_60
脱水汚泥	だっすいおでい	脱水汚泥はケーキ状になり焼却施設へ運ばれる。	下水道	repo_benchmark_60
汚泥濃縮	おでいのうしゅく	脱水の前段で汚泥濃縮を行い水分を減らす。	下水道	repo_benchmark_60
凝集沈殿	ぎょうしゅうちんでん	薬品を加えた凝集沈殿で微細な濁りを除去する。	下水道	repo_benchmark_60
高分子凝集剤	こうぶんしぎょうしゅうざい	脱水機の前に高分子凝集剤を注入してフロックを作る。	下水道	repo_benchmark_60
塩化第二鉄	えんかだいにてつ	リン除去のために塩化第二鉄を添加した。	下水道	repo_benchmark_60
硫酸ばんど	りゅうさんばんど	古くから凝集剤として硫酸ばんどが使われてきた。	下水道	repo_benchmark_60
次亜塩素酸ナトリウム	じあえんそさんなとりうむ	放流前に次亜塩素酸ナトリウムで消毒する。	下水道	repo_benchmark_60
放流水	ほうりゅうすい	処理を終えた放流水を河川へ排出する。	下水道	repo_benchmark_60
流入水	りゅうにゅうすい	処理場の流入水の水質は時間帯によって変動する。	下水道	repo_benchmark_60
雨水吐	うすいばき	合流式下水道では雨水吐から越流水が河川へ流れ出る。	下水道	repo_benchmark_60
合流式下水道	ごうりゅうしきげすいどう	古い市街地では合流式下水道が多く残っている。	下水道	repo_benchmark_60
分流式下水道	ぶんりゅうしきげすいどう	新しい区域は分流式下水道で整備されている。	下水道	repo_benchmark_60
揚水ポンプ	ようすいぽんぷ	地下に集まった下水を揚水ポンプで地上へ汲み上げる。	下水道	repo_benchmark_60
担体	たんたい	反応槽に担体を投入して微生物を付着させる。	下水道	repo_benchmark_60
生物膜法	せいぶつまくほう	小規模施設では生物膜法が用いられることが多い。	下水道	repo_benchmark_60
回転円板法	かいてんえんばんほう	回転円板法は円板表面の微生物で汚れを分解する。	下水道	repo_benchmark_60
接触酸化法	せっしょくさんかほう	浄化槽には負荷変動に強い接触酸化法が採用される。	下水道	repo_benchmark_60
硝化	しょうか	好気槽ではアンモニアを硝酸に変える硝化が進む。	下水道	repo_benchmark_60
脱窒	だっちつ	無酸素槽で脱窒が起こり硝酸が窒素ガスになる。	下水道	repo_benchmark_60
アンモニア性窒素	あんもにあせいちっそ	流入下水の窒素の多くはアンモニア性窒素である。	下水道	repo_benchmark_60
全窒素	ぜんちっそ	閉鎖性水域では全窒素の排出が規制されている。	下水道	repo_benchmark_60
全リン	ぜんりん	富栄養化を防ぐため全リンの濃度を管理する。	下水道	repo_benchmark_60
浮遊物質	ふゆうぶっしつ	放流水の浮遊物質は規定値以下に抑える必要がある。	下水道	repo_benchmark_60
溶存酸素	ようぞんさんそ	曝気槽の溶存酸素を計測して送風量を調整する。	下水道	repo_benchmark_60
透視度	とうしど	処理水の透視度を毎朝確認している。	下水道	repo_benchmark_60
大腸菌群	だいちょうきんぐん	消毒後の放流水で大腸菌群の数を検査する。	下水道	repo_benchmark_60
嫌気無酸素好気法	けんきむさんそこうきほう	窒素とリンを同時に除く嫌気無酸素好気法を導入した。	下水道	repo_benchmark_60
標準活性汚泥法	ひょうじゅんかっせいおでいほう	多くの処理場で標準活性汚泥法が基本となっている。	下水道	repo_benchmark_60
終末処理場	しゅうまつしょりじょう	集めた下水は終末処理場まで送られて浄化される。	下水道	repo_benchmark_60
下水処理場	げすいしょりじょう	下水処理場では微生物の力で水をきれいにする。	下水道	repo_benchmark_60
汚泥焼却	おでいしょうきゃく	減容化のため脱水汚泥を汚泥焼却で処理する。	下水道	repo_benchmark_60
脱離液	だつりえき	脱水工程で生じた脱離液は処理系へ返送される。	下水道	repo_benchmark_60
返流水	へんりゅうすい	汚泥処理から出る返流水が水処理系の負荷を高める。	下水道	repo_benchmark_60
曝気槽	ばっきそう	曝気槽で微生物に酸素を供給して有機物を分解する。	下水道	repo_benchmark_60
越流堰	えつりゅうぜき	沈殿池の越流堰から上澄み水が流れ出ていく。	下水道	repo_benchmark_60
汚泥引抜	おでいひきぬき	定期的な汚泥引抜を怠ると処理性能が低下する。	下水道	repo_benchmark_60
取水	しゅすい	浄水場は河川から取水して処理を始める。	下水道	repo_benchmark_60
凝集剤	ぎょうしゅうざい	濁りを沈めるために凝集剤を適量加える。	下水道	repo_benchmark_60
沈殿汚泥	ちんでんおでい	沈殿池の底に溜まった沈殿汚泥をかき集める。	下水道	repo_benchmark_60
汚水ます	おすいます	宅地内の汚水ますで詰まりが起きていた。	下水道	repo_benchmark_60
汚泥処分	おでいしょぶん	最終的な汚泥処分には埋立や再資源化がある。	下水道	repo_benchmark_60
