term	reading	sentence	category	source
硬化性樹脂	こうかせいじゅし	委託業者との現場打合せにおいて、担当技師は硬化性樹脂の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
熱硬化性樹脂	ねつこうかせいじゅし	長寿命化計画の見直し時に、担当技師は熱硬化性樹脂の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
光硬化性樹脂	ひかりこうかせいじゅし	運転日報を確認したところ、担当技師は光硬化性樹脂の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
常温硬化	じょうおんこうか	中央監視室の引継ぎで、担当技師は常温硬化の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
温水硬化	おんすいこうか	事故原因の検証会議では、担当技師は温水硬化の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
蒸気硬化	じょうきこうか	工事完成図との照合時に、担当技師は蒸気硬化の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
光硬化	ひかりこうか	次年度の実施計画を作る際、担当技師は光硬化の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
硬化不足	こうかぶそく	施設台帳を更新するため、担当技師は硬化不足の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
硬化管理	こうかかんり	関係機関との合同協議で、担当技師は硬化管理の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
硬化温度	こうかおんど	休日の応急対応中、担当技師は硬化温度の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
硬化時間	こうかじかん	技術提案の審査会で、担当技師は硬化時間の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
樹脂含浸材	じゅしがんしんざい	定期修繕の発注前に、担当技師は樹脂含浸材の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
反転機	はんてんき	現地踏査の報告会では、担当技師は反転機の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
引込速度	ひきこみそくど	浸水被害の聞き取り後、担当技師は引込速度の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
反転速度	はんてんそくど	監査資料を取りまとめる際、担当技師は反転速度の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
反転圧力	はんてんあつりょく	交代勤務者への申し送りで、担当技師は反転圧力の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
拡径	かくけい	試運転の評価会において、担当技師は拡径の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
縮径	しゅくけい	耐震診断の中間報告では、担当技師は縮径の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
管口処理	かんこうしょり	水質異常の第一報を受け、担当技師は管口処理の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
端部処理	たんぶしょり	管路調査の成果整理時に、担当技師は端部処理の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
取付管口	とりつけかんこう	予防保全の優先順位を決めるため、担当技師は取付管口の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
取付管穿孔	とりつけかんせんこう	基本設計の照査で、設計班が取付管穿孔の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
穿孔機	せんこうき	施工計画の協議に先立ち、設計班が穿孔機の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
穿孔径	せんこうけい	夜間工事の安全会議では、設計班が穿孔径の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
裏込め注入	うらごめちゅうにゅう	月例点検の結果を受けて、設計班が裏込め注入の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
裏込め材	うらごめざい	豪雨後の緊急巡視で、設計班が裏込め材の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
充填材	じゅうてんざい	更新予算の査定時に、設計班が充填材の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
充填不足	じゅうてんぶそく	住民説明会の資料では、設計班が充填不足の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
注入圧力	ちゅうにゅうあつりょく	議会答弁を準備する過程で、設計班が注入圧力の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
注入量	ちゅうにゅうりょう	新人研修の実習中に、設計班が注入量の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
支保材	しほざい	竣工検査の前日、設計班が支保材の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
かん合部	かんごうぶ	災害訓練の反省会で、設計班がかん合部の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
接合部材	せつごうぶざい	委託業者との現場打合せにおいて、設計班が接合部材の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
製管材	せいかんざい	長寿命化計画の見直し時に、設計班が製管材の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
製管機	せいかんき	運転日報を確認したところ、設計班が製管機の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
管内製管	かんないせいかん	中央監視室の引継ぎで、設計班が管内製管の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
耐荷能力	たいかのうりょく	事故原因の検証会議では、設計班が耐荷能力の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
偏平試験	へんぺいしけん	工事完成図との照合時に、設計班が偏平試験の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
曲げ試験	まげしけん	次年度の実施計画を作る際、設計班が曲げ試験の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
引張試験	ひっぱりしけん	施設台帳を更新するため、設計班が引張試験の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
水密性試験	すいみつせいしけん	関係機関との合同協議で、設計班が水密性試験の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
外圧試験	がいあつしけん	休日の応急対応中、設計班が外圧試験の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
扁平率	へんぺいりつ	技術提案の審査会で、設計班が扁平率の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
更生管厚	こうせいかんあつ	定期修繕の発注前に、設計班が更生管厚の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
設計管厚	せっけいかんあつ	現地踏査の報告会では、設計班が設計管厚の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
残存管強度	ざんぞんかんきょうど	浸水被害の聞き取り後、設計班が残存管強度の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
土圧荷重	どあつかじゅう	監査資料を取りまとめる際、設計班が土圧荷重の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
活荷重	かつかじゅう	交代勤務者への申し送りで、設計班が活荷重の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
地下水圧	ちかすいあつ	試運転の評価会において、設計班が地下水圧の適用条件を改めて整理したため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
大中口径管推進工法	だいちゅうこうけいかんすいしんこうほう	耐震診断の中間報告では、設計班が大中口径管推進工法の適用条件を改めて整理したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
刃口式推進工法	はぐちしきすいしんこうほう	水質異常の第一報を受け、設計班が刃口式推進工法の適用条件を改めて整理したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
土圧式推進工法	どあつしきすいしんこうほう	管路調査の成果整理時に、設計班が土圧式推進工法の適用条件を改めて整理したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
圧入式推進工法	あつにゅうしきすいしんこうほう	予防保全の優先順位を決めるため、設計班が圧入式推進工法の適用条件を改めて整理したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
オーガ式推進工法	おーがしきすいしんこうほう	基本設計の照査で、現場代理人からオーガ式推進工法の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
鋼製さや管推進工法	こうせいさやかんすいしんこうほう	施工計画の協議に先立ち、現場代理人から鋼製さや管推進工法の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
高耐荷力管推進工法	こうたいかりょくかんすいしんこうほう	夜間工事の安全会議では、現場代理人から高耐荷力管推進工法の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
低耐荷力管推進工法	ていたいかりょくかんすいしんこうほう	月例点検の結果を受けて、現場代理人から低耐荷力管推進工法の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進管	すいしんかん	豪雨後の緊急巡視で、現場代理人から推進管の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進力	すいしんりょく	更新予算の査定時に、現場代理人から推進力の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
許容推進力	きょようすいしんりょく	住民説明会の資料では、現場代理人から許容推進力の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
元押推進力	もとおしすいしんりょく	議会答弁を準備する過程で、現場代理人から元押推進力の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
元押装置	もとおしそうち	新人研修の実習中に、現場代理人から元押装置の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
中押装置	なかおしそうち	竣工検査の前日、現場代理人から中押装置の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進設備	すいしんせつび	災害訓練の反省会で、現場代理人から推進設備の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進架台	すいしんかだい	委託業者との現場打合せにおいて、現場代理人から推進架台の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進反力	すいしんはんりょく	長寿命化計画の見直し時に、現場代理人から推進反力の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
反力壁	はんりょくへき	運転日報を確認したところ、現場代理人から反力壁の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
支圧壁	しあつへき	中央監視室の引継ぎで、現場代理人から支圧壁の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
発進立坑	はっしんたてこう	事故原因の検証会議では、現場代理人から発進立坑の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
到達立坑	とうたつたてこう	工事完成図との照合時に、現場代理人から到達立坑の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
中間立坑	ちゅうかんたてこう	次年度の実施計画を作る際、現場代理人から中間立坑の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
立坑設備	たてこうせつび	施設台帳を更新するため、現場代理人から立坑設備の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
立坑土留め	たてこうどどめ	関係機関との合同協議で、現場代理人から立坑土留めの施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
鏡切り	かがみきり	休日の応急対応中、現場代理人から鏡切りの施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
坑口止水	こうぐちしすい	技術提案の審査会で、現場代理人から坑口止水の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
掘進機	くっしんき	定期修繕の発注前に、現場代理人から掘進機の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
掘削機	くっさくき	現地踏査の報告会では、現場代理人から掘削機の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
先導体	せんどうたい	浸水被害の聞き取り後、現場代理人から先導体の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
切羽	きりは	監査資料を取りまとめる際、現場代理人から切羽の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
切羽安定	きりはあんてい	交代勤務者への申し送りで、現場代理人から切羽安定の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
切羽圧力	きりはあつりょく	試運転の評価会において、現場代理人から切羽圧力の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
泥水圧	でいすいあつ	耐震診断の中間報告では、現場代理人から泥水圧の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
土圧管理	どあつかんり	水質異常の第一報を受け、現場代理人から土圧管理の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
泥水処理設備	でいすいしょりせつび	管路調査の成果整理時に、現場代理人から泥水処理設備の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
泥水循環設備	でいすいじゅんかんせつび	予防保全の優先順位を決めるため、現場代理人から泥水循環設備の施工手順が詳しく説明されたため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
泥水輸送	でいすいゆそう	基本設計の照査で、運転員は泥水輸送の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
排泥設備	はいでいせつび	施工計画の協議に先立ち、運転員は排泥設備の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
掘削土量	くっさくどりょう	夜間工事の安全会議では、運転員は掘削土量の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
添加材	てんかざい	月例点検の結果を受けて、運転員は添加材の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
滑材	かつざい	豪雨後の緊急巡視で、運転員は滑材の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
滑材注入	かつざいちゅうにゅう	更新予算の査定時に、運転員は滑材注入の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
滑材注入量	かつざいちゅうにゅうりょう	住民説明会の資料では、運転員は滑材注入量の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
中押し	なかおし	議会答弁を準備する過程で、運転員は中押しの指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進延長	すいしんえんちょう	新人研修の実習中に、運転員は推進延長の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進速度	すいしんそくど	竣工検査の前日、運転員は推進速度の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
推進精度	すいしんせいど	災害訓練の反省会で、運転員は推進精度の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
方向制御	ほうこうせいぎょ	委託業者との現場打合せにおいて、運転員は方向制御の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
測量管理	そくりょうかんり	長寿命化計画の見直し時に、運転員は測量管理の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
自動測量	じどうそくりょう	運転日報を確認したところ、運転員は自動測量の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
曲線推進	きょくせんすいしん	中央監視室の引継ぎで、運転員は曲線推進の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
急曲線推進	きゅうきょくせんすいしん	事故原因の検証会議では、運転員は急曲線推進の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
長距離推進	ちょうきょりすいしん	工事完成図との照合時に、運転員は長距離推進の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
管端抵抗	かんたんていこう	次年度の実施計画を作る際、運転員は管端抵抗の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
周面抵抗	しゅうめんていこう	施設台帳を更新するため、運転員は周面抵抗の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
先端抵抗	せんたんていこう	関係機関との合同協議で、運転員は先端抵抗の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
地盤変位	じばんへんい	休日の応急対応中、運転員は地盤変位の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
地表面沈下	ちひょうめんちんか	技術提案の審査会で、運転員は地表面沈下の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
路面隆起	ろめんりゅうき	定期修繕の発注前に、運転員は路面隆起の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
薬液注入	やくえきちゅうにゅう	現地踏査の報告会では、運転員は薬液注入の指示値と実測値を比較したため、その結論を協議録に残した。	推進・開削	日本下水道協会「下水道推進工法の指針と解説」
給水装置材料	きゅうすいそうちざいりょう	浸水被害の聞き取り後、運転員は給水装置材料の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水装置構造	きゅうすいそうちこうぞう	監査資料を取りまとめる際、運転員は給水装置構造の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水引込管	きゅうすいひきこみかん	交代勤務者への申し送りで、運転員は給水引込管の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水立管	きゅうすいたてかん	試運転の評価会において、運転員は給水立管の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水主管	きゅうすいしゅかん	耐震診断の中間報告では、運転員は給水主管の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水枝管	きゅうすいえだかん	水質異常の第一報を受け、運転員は給水枝管の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水用具	きゅうすいようぐ	管路調査の成果整理時に、運転員は給水用具の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水器具	きゅうすいきぐ	予防保全の優先順位を決めるため、運転員は給水器具の指示値と実測値を比較したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
給水管分岐	きゅうすいかんぶんき	基本設計の照査で、管理責任者が給水管分岐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
配水管分岐	はいすいかんぶんき	施工計画の協議に先立ち、管理責任者が配水管分岐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
穿孔分岐	せんこうぶんき	夜間工事の安全会議では、管理責任者が穿孔分岐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
不断水分岐	ふだんすいぶんき	月例点検の結果を受けて、管理責任者が不断水分岐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
不断水穿孔	ふだんすいせんこう	豪雨後の緊急巡視で、管理責任者が不断水穿孔に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
サドル付分水栓	さどるつきぶんすいせん	更新予算の査定時に、管理責任者がサドル付分水栓に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
分水栓継手	ぶんすいせんつぎて	住民説明会の資料では、管理責任者が分水栓継手に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
伸縮可とう継手	しんしゅくかとうつぎて	議会答弁を準備する過程で、管理責任者が伸縮可とう継手に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
絶縁継手	ぜつえんつぎて	新人研修の実習中に、管理責任者が絶縁継手に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
フランジ継手	ふらんじつぎて	竣工検査の前日、管理責任者がフランジ継手に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
メカニカル継手	めかにかるつぎて	災害訓練の反省会で、管理責任者がメカニカル継手に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
押輪	おしわ	委託業者との現場打合せにおいて、管理責任者が押輪に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
特殊押輪	とくしゅおしわ	長寿命化計画の見直し時に、管理責任者が特殊押輪に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
離脱防止金具	りだつぼうしかなぐ	運転日報を確認したところ、管理責任者が離脱防止金具に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
防食用ポリエチレンスリーブ	ぼうしょくようぽりえちれんすりーぶ	中央監視室の引継ぎで、管理責任者が防食用ポリエチレンスリーブに関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
防食テープ	ぼうしょくてーぷ	事故原因の検証会議では、管理責任者が防食テープに関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
管端防食	かんたんぼうしょく	工事完成図との照合時に、管理責任者が管端防食に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
管内挿入工法	かんないそうにゅうこうほう	次年度の実施計画を作る際、管理責任者が管内挿入工法に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
